"File","NavText","Template"
"about.html","FAQ","template-001-beauty-studio"
"blog-detail.html","FAQ","template-001-beauty-studio"
"blog.html","FAQ","template-001-beauty-studio"
"booking.html","FAQ","template-001-beauty-studio"
"contact.html","FAQ","template-001-beauty-studio"
"faq.html","FAQ","template-001-beauty-studio"
"index.html","FAQ","template-001-beauty-studio"
"portfolio.html","FAQ","template-001-beauty-studio"
"process.html","FAQ","template-001-beauty-studio"
"reviews.html","FAQ","template-001-beauty-studio"
"service-detail.html","FAQ","template-001-beauty-studio"
"services.html","FAQ","template-001-beauty-studio"
"about.html","FAQ","template-002-modern-restaurant"
"blog-detail.html","FAQ","template-002-modern-restaurant"
"blog.html","FAQ","template-002-modern-restaurant"
"booking.html","FAQ","template-002-modern-restaurant"
"contact.html","FAQ","template-002-modern-restaurant"
"faq.html","FAQ","template-002-modern-restaurant"
"index.html","FAQ","template-002-modern-restaurant"
"portfolio.html","FAQ","template-002-modern-restaurant"
"process.html","FAQ","template-002-modern-restaurant"
"reviews.html","FAQ","template-002-modern-restaurant"
"service-detail.html","FAQ","template-002-modern-restaurant"
"services.html","FAQ","template-002-modern-restaurant"
"about.html","ABOUT","template-003-fashion-boutique"
"about.html","COLLECTION","template-003-fashion-boutique"
"about.html","LOOKBOOK","template-003-fashion-boutique"
"about.html","GALLERY","template-003-fashion-boutique"
"about.html","REVIEWS","template-003-fashion-boutique"
"about.html","FAQ","template-003-fashion-boutique"
"about.html","APPOINTMENT","template-003-fashion-boutique"
"about.html","PROCESS","template-003-fashion-boutique"
"about.html","JOURNAL","template-003-fashion-boutique"
"about.html","CONTACT","template-003-fashion-boutique"
"blog-detail.html","ABOUT","template-003-fashion-boutique"
"blog-detail.html","COLLECTION","template-003-fashion-boutique"
"blog-detail.html","LOOKBOOK","template-003-fashion-boutique"
"blog-detail.html","GALLERY","template-003-fashion-boutique"
"blog-detail.html","REVIEWS","template-003-fashion-boutique"
"blog-detail.html","FAQ","template-003-fashion-boutique"
"blog-detail.html","APPOINTMENT","template-003-fashion-boutique"
"blog-detail.html","PROCESS","template-003-fashion-boutique"
"blog-detail.html","JOURNAL","template-003-fashion-boutique"
"blog-detail.html","CONTACT","template-003-fashion-boutique"
"blog.html","ABOUT","template-003-fashion-boutique"
"blog.html","COLLECTION","template-003-fashion-boutique"
"blog.html","LOOKBOOK","template-003-fashion-boutique"
"blog.html","GALLERY","template-003-fashion-boutique"
"blog.html","REVIEWS","template-003-fashion-boutique"
"blog.html","FAQ","template-003-fashion-boutique"
"blog.html","APPOINTMENT","template-003-fashion-boutique"
"blog.html","PROCESS","template-003-fashion-boutique"
"blog.html","JOURNAL","template-003-fashion-boutique"
"blog.html","CONTACT","template-003-fashion-boutique"
"booking.html","ABOUT","template-003-fashion-boutique"
"booking.html","COLLECTION","template-003-fashion-boutique"
"booking.html","LOOKBOOK","template-003-fashion-boutique"
"booking.html","GALLERY","template-003-fashion-boutique"
"booking.html","REVIEWS","template-003-fashion-boutique"
"booking.html","FAQ","template-003-fashion-boutique"
"booking.html","APPOINTMENT","template-003-fashion-boutique"
"booking.html","PROCESS","template-003-fashion-boutique"
"booking.html","JOURNAL","template-003-fashion-boutique"
"booking.html","CONTACT","template-003-fashion-boutique"
"contact.html","ABOUT","template-003-fashion-boutique"
"contact.html","COLLECTION","template-003-fashion-boutique"
"contact.html","LOOKBOOK","template-003-fashion-boutique"
"contact.html","GALLERY","template-003-fashion-boutique"
"contact.html","REVIEWS","template-003-fashion-boutique"
"contact.html","FAQ","template-003-fashion-boutique"
"contact.html","APPOINTMENT","template-003-fashion-boutique"
"contact.html","PROCESS","template-003-fashion-boutique"
"contact.html","JOURNAL","template-003-fashion-boutique"
"contact.html","CONTACT","template-003-fashion-boutique"
"faq.html","ABOUT","template-003-fashion-boutique"
"faq.html","COLLECTION","template-003-fashion-boutique"
"faq.html","LOOKBOOK","template-003-fashion-boutique"
"faq.html","GALLERY","template-003-fashion-boutique"
"faq.html","REVIEWS","template-003-fashion-boutique"
"faq.html","FAQ","template-003-fashion-boutique"
"faq.html","APPOINTMENT","template-003-fashion-boutique"
"faq.html","PROCESS","template-003-fashion-boutique"
"faq.html","JOURNAL","template-003-fashion-boutique"
"faq.html","CONTACT","template-003-fashion-boutique"
"index.html","ABOUT","template-003-fashion-boutique"
"index.html","COLLECTION","template-003-fashion-boutique"
"index.html","LOOKBOOK","template-003-fashion-boutique"
"index.html","GALLERY","template-003-fashion-boutique"
"index.html","REVIEWS","template-003-fashion-boutique"
"index.html","FAQ","template-003-fashion-boutique"
"index.html","APPOINTMENT","template-003-fashion-boutique"
"index.html","PROCESS","template-003-fashion-boutique"
"index.html","JOURNAL","template-003-fashion-boutique"
"index.html","CONTACT","template-003-fashion-boutique"
"portfolio.html","ABOUT","template-003-fashion-boutique"
